I am 18+ and consent to take part. I understand anomymised data will be published openly,"How often do you use digital or AI-powered tools (e.g., ChatGPT, Copilot, Gemini, AI-enhanced search) in your daily life? ",I have a clear understanding of my core personal values. ,I can easily explain what matters most to me. ,My values rarely change over time. ,I feel confident in what I believe is right for me. ,Which of the following best represent your top three personal values? (select up to 3),What matters most to you in life?  ,My life feels meaningful. ,I feel fulfilled by how I spend my time. ,I have a clear sense of direction in my life. ,I often feel unsure about what I truly want in life. ,I feel motivated about my future. ,My daily behaviour reflects my values. ,I often behave in ways that conflict with what’s important to me. ,"I often know what I should do, but I struggle to follow through in real life ",I struggle to be the person I want to be. ,Which areas of your life feel least aligned with your values? (select all that apply),  I have felt cheerful and in good spirits.  ,I have felt calm and relaxed. ,I have felt active and vigorous. ,I woke up feeling fresh and rested. ,My daily life has been filled with things that interest me. ,I trust myself to make good decisions. ,I feel easily influenced by other people’s opinions. ,I doubt myself even when I know what I truly value. ,I find it difficult to follow my internal compass. ,Digital noise makes it harder to focus on what matters. ,I often feel distracted from my values by online content. ,"I often feel reactive, distracted, or pulled away from the person I want to become. ",AI tools sometimes influence how I think about decisions. ,I prefer to rely on my own judgement rather than AI suggestions. ,I worry that AI could push society away from meaningful things.  ,AI should be trained to reflect core human values. ,Understanding what humans value is important for future AI systems. ,Which values do you believe AI systems should reflect? (select up 3),What is your age group?,Which of the following best describes your current work status? ,What is your highest level of education? ,Country of residence,Which of the following best describes your gender?,How would you describe your general emotional wellbeing?  
Yes,Sometimes,6,6,7,7,"Family, Honesty / Integrity, Compassion",Fairness and integrity ,4,3,3,4,3,5,3,6,7,"Health, Time / focus, Relationships, Work / career, Finances, Purpose / direction",2,2,3,1,2,3,5,6,5,6,6,6,4,6,7,7,7,"Empathy, Non-harm, Transparency",55 - 65,Employed full time,Bachelor’s degree,UK,Man,4
Yes,Everyday,5,5,6,7,"Family, Honesty / Integrity, Health",my loved ones,6,7,6,2,6,6,2,6,6,Digital habits,5,5,4,4,4,5,2,2,2,2,2,2,3,6,2,2,6,"Fairness, Human wellbeing, Non-harm",25 - 34,Employed full time,Postgraduate degree,UK,Man,5
Yes,Very often,7,7,7,7,"Family, Honesty / Integrity, Security / Stability",My son,5,3,1,7,1,5,1,7,7,"Work / career, Finances",3,3,3,2,4,4,4,7,5,7,7,7,6,7,7,7,7,"Honesty, Empathy, Fairness",25 - 34,Employed part-time,High school,US,Woman,1
Yes,Occasionally,6,5,5,6,"Honesty / Integrity, Health, Creativity","being happy and healthy, creative freedom, not harming others",2,4,2,6,2,6,5,7,7,"Health, Time / focus, Digital habits, Purpose / direction",3,3,2,3,5,4,2,6,3,6,6,6,4,7,7,5,6,"Honesty, Human wellbeing, Transparency",25 - 34,Not currently working,High school,Canada,Woman,3
Yes,Sometimes,7,7,6,6,"Family, Honesty / Integrity, Responsibility",My family,7,5,5,6,4,6,1,4,3,"Time / focus, Work / career, Finances, Purpose / direction",4,4,4,2,3,6,1,4,2,5,6,5,5,4,6,4,4,"Responsibility, Human wellbeing, Non-harm",35 - 44,Employed full time,Some university/college,UK,Man,6
Yes,Occasionally,6,6,5,7,"Honesty / Integrity, Health, Independence","Living a life that is honest and leave me content, even if that means I do not reach extreme highs",7,6,6,2,5,4,1,2,1,Relationships,5,5,4,5,5,7,1,1,1,3,1,1,1,7,3,5,5,"Honesty, Transparency",18 - 24,Not currently working,High school,US,Man,7
Yes,Occasionally,7,6,6,6,"Family, Health, Independence",Freedom,2,1,2,5,3,2,7,6,6,"Health, Time / focus, Work / career, Finances, Purpose / direction",3,2,2,1,2,5,1,2,5,2,2,5,1,7,4,6,6,"Honesty, Empathy, Human wellbeing",25 - 34,Employed full time,Bachelor’s degree,UK,Man,5
Yes,Often,7,7,6,7,"Family, Honesty / Integrity, Faith / Spirituality",My family,5,4,4,4,3,7,1,1,2,"Time / focus, Work / career",3,3,2,2,3,6,1,2,1,2,2,2,4,4,3,4,4,"Honesty, Respect, Accountability",45 - 54,Employed full time,Bachelor’s degree,UK,Man,4
Yes,Occasionally,6,5,6,6,"Honesty / Integrity, Compassion, Independence",My personal well being ,5,5,5,4,6,6,6,6,6,Relationships,4,4,3,3,3,6,5,4,3,3,3,6,2,6,3,5,5,"Honesty, Fairness, Transparency",Over 65,Not currently working,High school,UK,Woman,4
Yes,Occasionally,6,6,5,6,"Family, Honesty / Integrity, Health",My Family,7,6,7,2,7,5,1,2,2,None,4,4,4,3,5,6,2,2,2,3,1,2,2,5,3,7,7,"Honesty, Human wellbeing, Transparency",55 - 65,Employed full time,High school,UK,Man,7
Yes,Rarely,7,7,7,7,"Family, Honesty / Integrity, Compassion",my loved ones,7,6,6,2,5,6,2,3,4,None,4,3,4,4,4,7,1,5,2,7,4,4,1,7,6,6,7,"Honesty, Fairness, Accountability",55 - 65,Not currently working,Postgraduate degree,UK,Woman,6
Yes,Occasionally,6,6,4,4,"Independence, Responsibility, Community / Contribution",The planet/environment,5,4,4,6,6,4,3,6,6,"Health, Time / focus, Relationships, Finances",4,4,3,2,3,5,2,5,3,5,5,5,1,6,6,5,6,"Non-harm, Transparency, Accountability",55 - 65,Self-employed / freelance,Other,Canada,Woman,5
Yes,Everyday,7,7,4,7,"Honesty / Integrity, Responsibility, Faith / Spirituality","Being a Christian is the most important thing in my life, and this defines my honest / integrity, and requires me to 'carry my cross' (take on responsibilities) to reach my goals to provide for my family, maintain my health, and support my community.",7,6,7,1,7,7,1,1,4,Digital habits,4,4,4,3,4,5,2,5,3,5,5,5,5,4,4,4,5,"Honesty, Responsibility, Transparency",45 - 54,Self-employed / freelance,Bachelor’s degree,UK,Man,7
Yes,Rarely,6,6,6,7,"Honesty / Integrity, Compassion, Independence","My family, my principles",5,6,6,4,4,6,3,3,3,"Relationships, Work / career, Finances",3,4,3,3,4,7,2,3,2,5,5,4,1,7,7,7,6,"Empathy, Human wellbeing, Accountability",Over 65,Not currently working,Postgraduate degree,Canada,Woman,6
Yes,Often,2,1,3,1,"Family, Honesty / Integrity, Achievement / Growth",My family,7,6,6,2,7,7,2,3,2,"Work / career, Finances",4,4,4,4,5,6,6,5,2,2,1,6,2,7,7,7,7,"Respect, Human wellbeing, Non-harm",25 - 34,Employed part-time,Some university/college,Ireland,Woman,6
Yes,Everyday,7,7,2,7,"Health, Independence, Community / Contribution",Energy and focus,6,6,7,1,7,6,1,2,1,Relationships,3,3,3,4,4,7,1,1,1,7,7,1,5,7,4,4,4,"Honesty, Empathy, Accountability",25 - 34,Employed full time,Bachelor’s degree,Canada,Man,6
Yes,Very often,5,5,5,5,"Security / Stability, Health, Responsibility",Providing security for family and enjoying my time. Having work and past times that spark curiosity and challenge,5,5,4,4,5,5,4,5,4,Work / career,4,4,3,4,3,5,3,6,4,6,5,6,6,4,5,4,6,"Honesty, Fairness, Human wellbeing",35 - 44,Employed full time,Bachelor’s degree,Ireland,Man,5
Yes,Everyday,7,6,6,6,"Family, Honesty / Integrity, Community / Contribution",My family is my top priority.,7,6,6,2,6,7,1,2,1,"Digital habits, Risk-Taking, Media Consumption",4,4,4,4,4,6,2,3,2,6,2,2,1,7,6,5,5,"Fairness, Transparency, Accountability",25 - 34,Employed full time,Bachelor’s degree,Canada,Woman,6
Yes,Never,7,7,6,6,"Family, Security / Stability, Health",My family,6,4,6,3,5,6,3,2,4,"Relationships, Work / career, Digital habits",4,4,2,1,3,6,2,6,2,6,6,3,2,7,7,7,7,"Honesty, Responsibility, Non-harm",55 - 65,Employed full time,Some university/college,UK,Woman,5
Yes,Everyday,7,6,6,6,"Honesty / Integrity, Security / Stability, Independence",My family,6,5,6,2,6,5,2,3,3,"Time / focus, Finances",4,4,3,3,4,6,2,2,1,5,3,4,5,5,6,5,6,"Empathy, Respect, Non-harm",25 - 34,Employed full time,Bachelor’s degree,UK,Woman,6
Yes,Very often,6,6,6,7,"Family, Honesty / Integrity, Independence",Family,5,4,4,5,6,4,5,5,5,"Time / focus, Work / career, Finances",4,5,4,4,3,4,3,6,5,5,6,6,5,3,3,5,6,"Fairness, Non-harm, Accountability",35 - 44,Employed full time,Bachelor’s degree,Canada,Man,6
Yes,Often,7,7,7,7,"Family, Compassion, Responsibility",My son Kerry,1,4,2,7,7,7,1,1,4,"Health, Work / career, Finances",1,2,3,2,2,1,1,7,6,7,1,7,1,7,7,7,7,"Empathy, Respect, Non-harm",45 - 54,Self-employed / freelance,Some university/college,US,Woman,4
Yes,Sometimes,6,6,6,6,"Honesty / Integrity, Responsibility, Faith / Spirituality",A relationship with God,6,6,6,1,4,6,1,2,2,Digital habits,5,5,3,4,4,6,4,2,1,2,1,1,1,4,1,1,4,"Responsibility, Transparency, Accountability",45 - 54,Not currently working,Bachelor’s degree,US,Woman,7
Yes,Sometimes,6,6,3,7,"Family, Honesty / Integrity, Health",My family ,5,5,6,3,6,7,1,2,3,"Time / focus, Work / career",4,4,3,4,4,7,1,2,2,6,3,2,3,6,5,7,7,"Honesty, Responsibility, Human wellbeing",35 - 44,Employed full time,High school,UK,Man,6
Yes,Sometimes,5,6,4,6,"Security / Stability, Health, Independence",Food,4,3,3,3,2,6,5,6,6,Time / focus,2,3,2,3,3,6,2,5,3,5,5,3,2,6,5,5,5,"Honesty, Empathy, Fairness",55 - 65,Self-employed / freelance,Postgraduate degree,US,Woman,3
Yes,Never,5,3,5,6,"Family, Security / Stability, Creativity","Feeling safe, family, financial security",5,6,5,4,4,6,1,6,5,Purpose / direction,5,5,3,3,5,7,3,2,1,5,3,2,1,7,7,4,4,"Honesty, Fairness, Non-harm",35 - 44,Self-employed / freelance,Postgraduate degree,UK,Woman,6
Yes,Sometimes,5,6,6,6,"Family, Honesty / Integrity, Faith / Spirituality",Faith and family ,7,7,6,5,5,6,6,5,2,"Work / career, Digital habits, Finances",4,3,3,1,5,6,6,5,5,4,6,5,3,6,6,3,6,"Honesty, Non-harm, Transparency",25 - 34,Not currently working,High school,UK,Woman,5
Yes,Occasionally,6,6,6,7,"Family, Honesty / Integrity, Faith / Spirituality",my family,7,7,6,2,7,7,4,6,3,Digital habits,5,5,4,4,5,7,5,5,4,3,5,4,5,6,7,3,5,"Honesty, Empathy, Responsibility",45 - 54,Self-employed / freelance,Some university/college,UK,Woman,6
Yes,Very often,6,6,6,6,"Family, Compassion, Creativity",Being a good person and not hurting other people with my actions,3,2,3,5,3,4,5,6,6,"Time / focus, Work / career, Purpose / direction",2,2,4,1,2,5,6,6,5,6,6,6,5,7,7,7,7,"Empathy, Human wellbeing, Non-harm",25 - 34,Employed full time,Some university/college,US,Woman,2
Yes,Occasionally,6,5,5,6,"Family, Security / Stability, Health",My family’s health ,4,4,5,6,6,3,5,7,7,"Time / focus, Relationships, Finances",3,3,2,3,2,5,6,6,6,7,4,3,4,5,2,3,4,"Empathy, Human wellbeing, Accountability",25 - 34,Employed full time,High school,UK,Woman,5
Yes,Everyday,6,6,5,5,"Family, Achievement / Growth, Independence",Family,6,5,4,5,5,6,2,3,2,"Health, Digital habits, Finances",4,5,2,2,4,5,3,3,3,5,5,6,3,5,4,5,5,"Empathy, Non-harm, Transparency",35 - 44,Employed full time,Some university/college,UK,Man,6
Yes,Very often,6,6,5,6,"Family, Honesty / Integrity, Faith / Spirituality",Connection,6,6,5,5,5,6,3,2,2,None,4,4,4,4,3,6,4,3,2,4,3,2,4,4,4,6,6,"Empathy, Human wellbeing, Non-harm",45 - 54,Employed full time,Bachelor’s degree,UK,Woman,5
Yes,Rarely,5,6,7,7,"Family, Honesty / Integrity, Creativity",My Children,6,5,6,7,6,6,2,6,3,"Time / focus, Work / career",4,3,3,2,4,5,2,2,3,4,2,4,1,6,6,6,6,"Fairness, Respect, Responsibility",25 - 34,Employed part-time,Postgraduate degree,UK,Woman,5
Yes,Occasionally,6,6,5,6,"Family, Achievement / Growth, Health",my own wellbeing,7,7,5,5,5,6,2,3,3,"Work / career, Finances",5,5,5,5,4,7,3,4,2,2,2,4,1,7,6,1,6,"Honesty, Respect, Non-harm",18 - 24,Employed full time,Some university/college,US,Woman,6
Yes,Everyday,7,7,7,7,"Family, Health, Compassion","My family matter most in my life my mum and sister, they are the most important followed by my friends.",4,3,1,5,1,6,2,6,6,"Health, Work / career, Finances, Purpose / direction",1,2,1,2,2,6,2,5,3,7,7,7,6,3,1,6,7,"Honesty, Empathy, Human wellbeing",35 - 44,Not currently working,Bachelor’s degree,UK,Man,1
Yes,Often,6,6,5,5,"Family, Health, Faith / Spirituality","My family and my role as a mother, daughter, sister, and friend. ",7,5,4,4,6,5,3,4,4,"Health, Work / career",4,4,4,4,4,5,3,4,4,5,5,5,4,5,3,5,6,"Empathy, Responsibility, Human wellbeing",35 - 44,Employed part-time,Bachelor’s degree,US,Woman,5
Yes,Everyday,7,7,5,7,"Family, Creativity, Faith / Spirituality","My faith in Jesus, my creativity and my loved ones. ",7,7,7,2,6,6,2,3,2,Finances,3,4,3,2,5,6,2,3,3,7,7,4,6,6,4,7,7,"Fairness, Human wellbeing, Non-harm",25 - 34,Self-employed / freelance,Bachelor’s degree,UK,Man,5
Yes,Often,6,6,6,5,"Family, Honesty / Integrity, Compassion",Family ,6,6,5,2,6,6,2,3,3,Finances,4,4,4,2,4,6,3,5,2,3,2,2,1,6,5,6,7,"Honesty, Responsibility, Non-harm",35 - 44,Employed full time,Postgraduate degree,UK,Man,6
Yes,Never,6,4,5,4,"Family, Honesty / Integrity, Compassion",my family ,5,6,7,1,5,5,4,2,2,None,3,4,4,3,5,6,3,2,2,6,2,2,2,7,7,4,7,"Honesty, Empathy, Non-harm",55 - 65,Not currently working,Bachelor’s degree,US,Woman,6
Yes,Everyday,5,6,4,7,"Honesty / Integrity, Health, Independence",Quality of life.,4,5,2,5,5,5,1,2,4,Purpose / direction,5,4,3,4,3,6,2,4,2,5,5,2,2,6,4,6,6,"Empathy, Human wellbeing, Non-harm",45 - 54,Self-employed / freelance,Postgraduate degree,Canada,Woman,6
Yes,Rarely,5,4,6,6,"Honesty / Integrity, Achievement / Growth, Health",Being unimpeded in the pursuit of my goals.,3,2,2,3,3,3,4,7,6,"Time / focus, Relationships, Work / career",2,3,3,1,2,4,4,3,3,7,7,7,1,7,7,7,7,"Honesty, Fairness, Non-harm",25 - 34,Self-employed / freelance,Bachelor’s degree,Canada,Man,2
Yes,Very often,6,6,6,6,"Family, Honesty / Integrity, Creativity",My family and taking care of them.,6,4,6,3,5,5,3,3,2,Health,4,4,3,3,4,6,3,2,3,5,3,3,4,6,6,6,7,"Honesty, Empathy, Human wellbeing",45 - 54,Self-employed / freelance,Bachelor’s degree,US,Man,6
Yes,Everyday,6,7,7,7,"Family, Honesty / Integrity, Health",family,6,6,5,6,6,6,1,4,4,"Time / focus, Work / career, Digital habits",4,4,3,4,4,6,5,5,3,7,7,6,6,5,5,6,6,"Honesty, Human wellbeing, Non-harm",55 - 65,Employed full time,Bachelor’s degree,UK,Woman,5
Yes,Very often,7,6,5,6,"Family, Security / Stability, Health","Family, my daughter",6,4,5,3,5,5,2,3,3,"Relationships, Work / career, Purpose / direction",4,3,4,3,4,6,1,3,4,4,2,3,5,3,3,5,5,"Honesty, Fairness, Non-harm",55 - 65,Employed part-time,Bachelor’s degree,Canada,Man,6
Yes,Often,5,5,5,5,"Achievement / Growth, Security / Stability, Independence",Independence,5,5,4,5,4,6,3,4,2,"Relationships, Work / career",2,3,4,3,4,6,1,3,3,6,5,5,3,4,2,4,4,"Honesty, Fairness, Accountability",25 - 34,Employed part-time,Bachelor’s degree,US,Man,4
Yes,Occasionally,6,6,5,6,"Family, Honesty / Integrity, Security / Stability",My daughter and family,5,5,5,3,4,6,2,2,2,"Health, Relationships, Work / career",4,4,3,4,3,6,2,2,2,2,2,2,1,7,6,5,5,"Honesty, Non-harm, Transparency",45 - 54,Employed full time,Bachelor’s degree,Ireland,Man,6
Yes,Everyday,7,7,7,6,"Compassion, Creativity, Community / Contribution","Avoiding harm and doing good where possible. Connecting, creating, love.",6,2,3,5,5,6,3,5,5,"Health, Relationships, Work / career, Digital habits, Finances, Purpose / direction",3,4,3,1,3,6,2,5,4,7,4,6,1,7,6,4,5,"Honesty, Fairness, Non-harm",25 - 34,Self-employed / freelance,Bachelor’s degree,UK,Woman,5
Yes,Occasionally,7,7,6,7,"Honesty / Integrity, Health, Independence",Feeling at peace,3,3,3,3,3,6,3,7,5,"Time / focus, Relationships, Digital habits, Finances",3,4,3,2,2,5,2,6,2,7,7,7,3,7,7,7,7,"Fairness, Human wellbeing, Transparency",35 - 44,Self-employed / freelance,Other,Canada,Woman,4
Yes,Occasionally,6,6,7,6,"Family, Security / Stability, Health",My family ,6,5,5,5,6,6,3,5,5,Purpose / direction,4,4,3,4,3,6,4,5,5,4,3,4,3,6,6,7,7,"Honesty, Human wellbeing, Transparency",Over 65,Not currently working,Postgraduate degree,Australia,Woman,5
Yes,Sometimes,6,6,5,6,"Family, Compassion, Independence",my family,6,6,5,2,5,6,3,4,4,Digital habits,4,4,4,4,4,6,2,2,3,6,5,5,3,7,7,4,6,"Empathy, Human wellbeing, Transparency",35 - 44,Employed full time,Bachelor’s degree,Canada,Man,6
Yes,Everyday,7,6,5,7,"Family, Honesty / Integrity, Responsibility",The welfare of my family.,7,7,6,1,7,7,1,1,2,"Relationships, Work / career, Purpose / direction",4,4,3,3,4,7,2,2,2,5,3,3,6,7,7,7,7,"Honesty, Human wellbeing, Accountability",35 - 44,Employed full time,Postgraduate degree,UK,Man,6
Yes,Occasionally,5,5,4,5,"Family, Honesty / Integrity, Security / Stability",Family,5,4,4,5,4,6,2,2,4,Purpose / direction,3,4,2,4,3,6,3,5,2,6,5,6,4,4,6,5,6,"Fairness, Non-harm, Accountability",35 - 44,Not currently working,Postgraduate degree,UK,Woman,5
Yes,Rarely,5,5,4,5,"Family, Compassion, Faith / Spirituality",Strong relationships and helping people.,6,5,5,4,6,5,4,5,5,"Time / focus, Digital habits",4,4,3,3,3,5,4,5,4,6,5,4,3,6,7,4,5,"Honesty, Fairness, Human wellbeing",25 - 34,Employed full time,Postgraduate degree,UK,Woman,6
Yes,Sometimes,7,7,7,7,"Family, Honesty / Integrity, Responsibility",Family,7,7,7,1,7,7,1,1,1,None,4,4,4,4,4,6,2,3,2,2,2,2,3,4,2,6,7,"Honesty, Empathy, Human wellbeing",35 - 44,Employed full time,Bachelor’s degree,US,Man,7
Yes,Rarely,6,6,6,6,"Family, Honesty / Integrity, Faith / Spirituality",living right,5,5,5,3,4,4,4,5,6,"Time / focus, Purpose / direction",3,3,3,3,3,4,4,5,4,6,7,6,4,5,6,4,4,modernity/technology,45 - 54,Not currently working,Some university/college,Canada,Prefer not to say,4
Yes,Very often,6,5,5,6,"Achievement / Growth, Health, Adventure",Immediate Family,6,5,5,5,5,4,5,5,6,"Time / focus, Relationships, Purpose / direction",3,2,3,4,4,5,3,5,5,5,2,5,5,5,5,4,3,"Honesty, Responsibility, Human wellbeing",35 - 44,Employed full time,Bachelor’s degree,US,Woman,3
Yes,Occasionally,5,4,6,6,"Achievement / Growth, Health, Creativity","Maintaining my independence and being with my family. Working on projects I care about, focusing om short-term  goals and achievements.  ",6,7,6,1,6,6,1,2,3,"Time / focus, Relationships, Purpose / direction",3,4,4,2,5,6,3,3,3,2,3,5,2,6,4,6,7,"Honesty, Respect, Non-harm",Over 65,Employed full time,Some university/college,UK,Man,6
Yes,Everyday,7,7,7,7,"Honesty / Integrity, Achievement / Growth, Compassion",Accountability,7,7,7,2,7,7,1,1,1,"Relationships, Digital habits",4,4,4,3,4,7,1,1,1,7,5,2,5,7,7,6,6,"Responsibility, Human wellbeing, Non-harm",35 - 44,Employed full time,Bachelor’s degree,Canada,Woman,6
Yes,Often,5,5,5,5,"Family, Honesty / Integrity, Faith / Spirituality",my family,5,5,5,3,4,5,3,3,4,None,4,3,3,4,4,5,3,3,3,3,2,3,4,4,3,4,4,"Honesty, Fairness, Respect",Over 65,Employed full time,Bachelor’s degree,US,Woman,5
Yes,Occasionally,5,6,4,5,"Security / Stability, Compassion, Creativity",Not being mean.,4,4,3,5,3,5,3,6,6,"Time / focus, Work / career",2,2,1,1,2,3,4,4,4,5,5,4,4,6,6,5,6,"Empathy, Fairness, Non-harm",45 - 54,Employed full time,Some university/college,US,Man,3
Yes,Occasionally,6,6,5,6,"Family, Honesty / Integrity, Responsibility",Being there for my family if they need me. Staying healthy and fit and optimistic about life.,5,5,5,4,4,5,4,5,5,"Health, Finances",3,3,3,3,3,4,5,5,4,5,5,5,5,5,4,4,5,"Non-harm, Transparency, Accountability",Over 65,Not currently working,Bachelor’s degree,UK,Woman,5
Yes,Never,6,5,2,6,"Honesty / Integrity, Health, Independence",Decency,3,2,1,7,3,5,2,5,4,"Health, Finances",3,4,2,2,2,5,3,7,3,6,3,4,2,7,7,4,5,"Transparency, Truth",45 - 54,Not currently working,Bachelor’s degree,UK,Man,4
Yes,Occasionally,6,6,6,6,"Family, Creativity, Faith / Spirituality",My relationship with God,7,6,6,1,6,6,1,4,2,None,4,4,3,3,4,6,2,2,2,4,2,2,2,7,4,4,6,"Fairness, Non-harm, Transparency",Over 65,Other,Other,UK,Man,6
Yes,Often,5,6,6,5,"Family, Security / Stability, Health",my kids,5,6,6,3,6,6,6,3,2,"Time / focus, Purpose / direction",3,4,3,3,3,5,4,2,2,5,4,5,2,6,3,4,6,"Honesty, Empathy, Fairness",45 - 54,Employed full time,Bachelor’s degree,US,Woman,5
Yes,Rarely,6,5,6,6,"Family, Honesty / Integrity, Security / Stability","My children and husband - as long as they are happy and heathy, I am happy.",5,5,6,2,5,6,1,3,4,"Time / focus, Work / career, Digital habits",4,3,3,4,3,5,4,5,4,7,6,6,2,6,4,6,6,"Honesty, Empathy, Human wellbeing",55 - 65,Self-employed / freelance,Bachelor’s degree,UK,Woman,5
Yes,Rarely,6,6,5,6,"Honesty / Integrity, Health, Independence",Health,6,5,5,2,5,6,5,5,6,"Health, Digital habits",4,4,4,4,5,6,5,6,5,7,7,5,2,6,7,6,6,"Honesty, Transparency, Accountability",Over 65,Not currently working,Bachelor’s degree,UK,Woman,6
Yes,Very often,7,7,7,7,"Family, Honesty / Integrity, Health",My family are the most important thing in my life.,1,6,7,1,7,7,1,2,1,None,5,5,4,4,5,7,1,1,1,1,1,1,4,5,1,4,4,"Fairness, Responsibility, Non-harm",25 - 34,Employed full time,Postgraduate degree,UK,Man,7
Yes,Very often,7,6,7,7,"Family, Honesty / Integrity, Compassion",My family is the most important thing in my life,7,6,6,1,6,7,1,1,1,Time / focus,4,5,4,5,5,7,1,1,1,2,1,1,1,5,2,5,6,"Honesty, Responsibility, Transparency",Over 65,Employed full time,High school,UK,Woman,7
Yes,Often,7,7,7,7,"Family, Honesty / Integrity, Health",My health,6,6,6,2,6,6,2,1,2,"Health, Relationships, Purpose / direction",5,5,3,3,4,7,2,2,1,5,3,2,4,5,6,7,7,"Empathy, Respect, Human wellbeing",Over 65,Other,Postgraduate degree,UK,Man,7
Yes,Sometimes,7,7,7,7,"Compassion, Creativity, Responsibility",compassion for others in need,6,6,7,2,7,6,1,2,2,"Health, Time / focus, Relationships",4,4,3,3,4,7,1,1,2,5,3,2,4,7,5,7,7,"Honesty, Empathy, Transparency",35 - 44,Employed full time,Bachelor’s degree,US,Man,5
Yes,Rarely,4,3,5,4,"Honesty / Integrity, Security / Stability, Compassion",Trying my best to live a life that makes me happy,1,2,1,7,2,5,4,6,6,"Health, Relationships, Work / career, Purpose / direction",3,2,1,1,3,2,6,6,6,5,4,6,1,7,7,6,5,"Honesty, Fairness, Non-harm",25 - 34,Self-employed / freelance,Postgraduate degree,UK,Woman,3
Yes,Rarely,6,7,5,6,"Family, Honesty / Integrity, Responsibility",My chosen family,4,3,3,6,4,5,1,4,3,"Health, Work / career, Digital habits, Purpose / direction",3,3,4,2,2,6,3,5,2,5,2,4,2,7,7,4,5,"Honesty, Responsibility, Accountability",35 - 44,Self-employed / freelance,Bachelor’s degree,Canada,Man,4
Yes,Sometimes,6,6,7,7,"Family, Honesty / Integrity, Creativity",My family above all else.,4,5,5,6,2,6,3,7,7,"Time / focus, Work / career, Purpose / direction",3,2,2,1,2,5,4,7,5,5,2,6,5,5,7,6,6,"Honesty, Human wellbeing, Non-harm",35 - 44,Not currently working,Some university/college,Canada,Man,3
Yes,Everyday,7,7,7,7,"Family, Honesty / Integrity, Health",family,1,4,7,1,7,7,1,1,1,None,3,4,3,3,3,7,2,1,1,4,1,1,1,7,2,7,7,"Honesty, Empathy, Fairness",55 - 65,Employed full time,Postgraduate degree,US,Man,4
Yes,Often,6,6,5,7,"Family, Honesty / Integrity, Faith / Spirituality",My faith,7,7,7,2,7,7,2,1,2,"Health, Time / focus, Relationships, Digital habits, Finances, Purpose / direction",3,3,3,4,5,7,3,2,2,2,1,1,2,6,3,7,7,"Honesty, Fairness, Non-harm",55 - 65,Not currently working,Some university/college,Canada,Woman,5
Yes,Often,7,7,7,7,"Family, Health, Faith / Spirituality",My family,6,3,7,1,7,7,3,5,4,"Health, Digital habits, Finances",3,1,1,1,3,7,2,4,4,7,7,7,1,5,1,7,7,"Honesty, Human wellbeing, Non-harm",25 - 34,Not currently working,High school,US,Woman,4
Yes,Often,7,7,4,6,"Security / Stability, Health, Independence",My family and friends ,7,6,5,3,5,6,4,2,4,"Work / career, Finances",3,4,4,4,4,6,5,4,3,3,5,2,5,4,5,6,7,"Fairness, Human wellbeing, Transparency",35 - 44,Employed full time,Bachelor’s degree,UK,Woman,6
Yes,Everyday,5,4,5,5,"Family, Honesty / Integrity, Security / Stability",Right now it is my family. I think I would like for my own personal growth to matter more but right now it's hard to make it a priority. ,3,5,2,5,4,4,2,4,6,"Time / focus, Work / career, Finances",3,4,1,2,3,5,3,2,2,6,4,4,5,4,6,7,7,"Honesty, Human wellbeing, Transparency",25 - 34,Employed part-time,Some university/college,US,Woman,5
Yes,Often,6,5,6,5,"Family, Security / Stability, Independence",To be there when my family needs me,3,5,3,3,2,4,3,6,5,"Relationships, Finances, Purpose / direction",3,2,4,2,3,3,1,5,4,5,6,4,5,3,6,5,6,"Respect, Human wellbeing, Accountability",45 - 54,Self-employed / freelance,Some university/college,Canada,Man,3
Yes,Often,6,5,6,6,"Family, Health, Independence",Peace of mind,3,4,4,5,4,5,4,3,4,"Time / focus, Purpose / direction",3,3,4,2,3,3,4,4,3,5,5,5,6,4,6,7,7,"Honesty, Non-harm, Transparency",55 - 65,Not currently working,High school,Canada,Man,4
Yes,Rarely,7,7,7,7,"Honesty / Integrity, Compassion, Faith / Spirituality",The people and animals I love and carry in my heart.,3,1,2,3,4,7,1,1,2,"Time / focus, Work / career, Digital habits",3,3,2,1,3,5,4,5,2,7,3,4,1,6,7,5,5,"Honesty, Fairness, Non-harm",35 - 44,Self-employed / freelance,High school,US,Woman,5
Yes,Never,7,7,7,7,"Honesty / Integrity, Security / Stability, Responsibility",My family,7,6,6,1,6,7,1,1,1,None,5,5,5,5,5,7,1,1,1,1,1,1,1,7,7,1,4,"Responsibility, Transparency, Accountability",35 - 44,Self-employed / freelance,Bachelor’s degree,US,Man,7
Yes,Often,6,6,6,6,"Achievement / Growth, Health, Responsibility",my family and my relationships,6,6,6,2,7,6,2,2,2,"Time / focus, Relationships",4,4,4,4,4,6,6,2,2,2,2,2,6,6,2,6,6,"Honesty, Fairness, Responsibility",35 - 44,Employed part-time,Some university/college,US,Woman,5
Yes,Everyday,6,6,6,6,"Honesty / Integrity, Health, Compassion",taking care of myself and health,6,6,6,4,5,6,6,5,6,"Digital habits, Finances, Purpose / direction",3,3,4,4,4,3,2,1,4,4,4,4,5,5,6,4,5,"Honesty, Respect, Human wellbeing",25 - 34,Employed full time,Bachelor’s degree,US,Woman,5
